Data Folder Directory,isomer,sphingoidBackbone,chainLength,unsaturationUnit
C:\Users\Desktop\DMS processing\test data\1uM b-GlcCer C20 in mix of 17 Glc_DMS,Glc,d18:1,20,0
C:\Users\Desktop\DMS processing\test data\1uM b-GlcCer C16 in mix of 17 Glc_DMS,Glc,d18:1,16,0
C:\Users\Desktop\DMS processing\test data\1uM b-GlcCer C8 in mix of 17 Glc_DMS,Glc,d18:1,8,0
C:\Users\Desktop\DMS processing\test data\1uM b-GlcCer C24-1 in mix of 17 Glc_DMS,Glc,d18:1,24,1
C:\Users\Desktop\DMS processing\test data\1uM b-GlcCer C22 in mix of 17 Gal_DMS,Glc,d18:1,22,0
C:\Users\Desktop\DMS processing\test data\1uM b-GlcCer C23 in mix of 17 Gal_DMS,Glc,d18:1,23,0
C:\Users\Desktop\DMS processing\test data\1uM b-GalCer C20 in mix of 17 Gal_DMS,Gal,d18:1,20,0
C:\Users\Desktop\DMS processing\test data\1uM b-GalCer C16 in mix of 17 Gal_DMS,Gal,d18:1,16,0
C:\Users\Desktop\DMS processing\test data\1uM b-GalCer C8 in mix of 17 Gal_DMS,Gal,d18:1,8,0
C:\Users\Desktop\DMS processing\test data\1uM b-GalCer C24-1 in mix of 17 Gal_DMS,Gal,d18:1,24,1
C:\Users\Desktop\DMS processing\test data\1uM b-GalCer C22 in mix of 17 Gal_DMS,Gal,d18:1,22,0
C:\Users\Desktop\DMS processing\test data\1uM b-GalCer C23 in mix of 17 Gal_DMS,Gal,d18:1,23,0
