,COV,Intensity,SV,chainLength,unsaturationUnit,isomer,sphingoidBackbone,lipidSpecies
0,-10.0,0,0,16,0,Gal,d18:1,16:0
1,-9.8,0,0,16,0,Gal,d18:1,16:0
2,-9.6,0,0,16,0,Gal,d18:1,16:0
3,-9.4,0,0,16,0,Gal,d18:1,16:0
4,-9.2,0,0,16,0,Gal,d18:1,16:0
5,-9.0,0,0,16,0,Gal,d18:1,16:0
6,-8.8,0,0,16,0,Gal,d18:1,16:0
7,-8.6,0,0,16,0,Gal,d18:1,16:0
8,-8.4,0,0,16,0,Gal,d18:1,16:0
9,-8.2,0,0,16,0,Gal,d18:1,16:0
10,-8.0,0,0,16,0,Gal,d18:1,16:0
11,-7.8,0,0,16,0,Gal,d18:1,16:0
12,-7.6,0,0,16,0,Gal,d18:1,16:0
13,-7.4,0,0,16,0,Gal,d18:1,16:0
14,-7.2,0,0,16,0,Gal,d18:1,16:0
15,-7.0,0,0,16,0,Gal,d18:1,16:0
16,-6.8,0,0,16,0,Gal,d18:1,16:0
17,-6.6,0,0,16,0,Gal,d18:1,16:0
18,-6.4,0,0,16,0,Gal,d18:1,16:0
19,-6.2,0,0,16,0,Gal,d18:1,16:0
20,-6.0,0,0,16,0,Gal,d18:1,16:0
21,-5.8,0,0,16,0,Gal,d18:1,16:0
22,-5.6,0,0,16,0,Gal,d18:1,16:0
23,-5.4,0,0,16,0,Gal,d18:1,16:0
24,-5.2,0,0,16,0,Gal,d18:1,16:0
25,-5.0,0,0,16,0,Gal,d18:1,16:0
26,-4.8,0,0,16,0,Gal,d18:1,16:0
27,-4.6,0,0,16,0,Gal,d18:1,16:0
28,-4.4,0,0,16,0,Gal,d18:1,16:0
29,-4.2,0,0,16,0,Gal,d18:1,16:0
30,-4.0,0,0,16,0,Gal,d18:1,16:0
31,-3.8,0,0,16,0,Gal,d18:1,16:0
32,-3.6,0,0,16,0,Gal,d18:1,16:0
33,-3.4,0,0,16,0,Gal,d18:1,16:0
34,-3.2,0,0,16,0,Gal,d18:1,16:0
35,-3.0,0,0,16,0,Gal,d18:1,16:0
36,-2.8,0,0,16,0,Gal,d18:1,16:0
37,-2.6,0,0,16,0,Gal,d18:1,16:0
38,-2.4,0,0,16,0,Gal,d18:1,16:0
39,-2.2,0,0,16,0,Gal,d18:1,16:0
40,-2.0,0,0,16,0,Gal,d18:1,16:0
41,-1.8,0,0,16,0,Gal,d18:1,16:0
42,-1.6,0,0,16,0,Gal,d18:1,16:0
43,-1.4,0,0,16,0,Gal,d18:1,16:0
44,-1.2,580,0,16,0,Gal,d18:1,16:0
45,-1.0,1500,0,16,0,Gal,d18:1,16:0
46,-0.8,3420,0,16,0,Gal,d18:1,16:0
47,-0.6,5200,0,16,0,Gal,d18:1,16:0
48,-0.4,5320,0,16,0,Gal,d18:1,16:0
49,-0.2,5340,0,16,0,Gal,d18:1,16:0
50,0.0,3400,0,16,0,Gal,d18:1,16:0
51,0.2,2280,0,16,0,Gal,d18:1,16:0
52,0.4,2000,0,16,0,Gal,d18:1,16:0
53,0.6,1340,0,16,0,Gal,d18:1,16:0
54,0.8,920,0,16,0,Gal,d18:1,16:0
55,1.0,400,0,16,0,Gal,d18:1,16:0
56,1.2,140,0,16,0,Gal,d18:1,16:0
57,1.4,40,0,16,0,Gal,d18:1,16:0
58,1.6,0,0,16,0,Gal,d18:1,16:0
59,1.8,0,0,16,0,Gal,d18:1,16:0
60,2.0,0,0,16,0,Gal,d18:1,16:0
61,2.2,0,0,16,0,Gal,d18:1,16:0
62,2.4,0,0,16,0,Gal,d18:1,16:0
63,2.6,0,0,16,0,Gal,d18:1,16:0
64,2.8,0,0,16,0,Gal,d18:1,16:0
65,3.0,0,0,16,0,Gal,d18:1,16:0
66,3.2,0,0,16,0,Gal,d18:1,16:0
67,3.4,0,0,16,0,Gal,d18:1,16:0
68,3.6,0,0,16,0,Gal,d18:1,16:0
69,3.8,0,0,16,0,Gal,d18:1,16:0
70,4.0,0,0,16,0,Gal,d18:1,16:0
71,4.2,0,0,16,0,Gal,d18:1,16:0
72,4.4,0,0,16,0,Gal,d18:1,16:0
73,4.6,0,0,16,0,Gal,d18:1,16:0
74,4.8,0,0,16,0,Gal,d18:1,16:0
75,5.0,0,0,16,0,Gal,d18:1,16:0
76,5.2,0,0,16,0,Gal,d18:1,16:0
77,5.4,0,0,16,0,Gal,d18:1,16:0
78,5.6,0,0,16,0,Gal,d18:1,16:0
79,5.8,0,0,16,0,Gal,d18:1,16:0
80,6.0,0,0,16,0,Gal,d18:1,16:0
81,6.2,0,0,16,0,Gal,d18:1,16:0
82,6.4,0,0,16,0,Gal,d18:1,16:0
83,6.6,0,0,16,0,Gal,d18:1,16:0
84,6.8,0,0,16,0,Gal,d18:1,16:0
85,7.0,0,0,16,0,Gal,d18:1,16:0
86,7.2,0,0,16,0,Gal,d18:1,16:0
87,7.4,0,0,16,0,Gal,d18:1,16:0
88,7.6,0,0,16,0,Gal,d18:1,16:0
89,7.8,0,0,16,0,Gal,d18:1,16:0
90,8.0,0,0,16,0,Gal,d18:1,16:0
91,8.2,0,0,16,0,Gal,d18:1,16:0
92,8.4,0,0,16,0,Gal,d18:1,16:0
93,8.6,0,0,16,0,Gal,d18:1,16:0
94,8.8,0,0,16,0,Gal,d18:1,16:0
95,9.0,0,0,16,0,Gal,d18:1,16:0
96,9.2,0,0,16,0,Gal,d18:1,16:0
97,9.4,0,0,16,0,Gal,d18:1,16:0
98,9.6,0,0,16,0,Gal,d18:1,16:0
99,9.8,0,0,16,0,Gal,d18:1,16:0
100,10.0,0,0,16,0,Gal,d18:1,16:0
101,-10.0,0,100,16,0,Gal,d18:1,16:0
102,-9.8,0,100,16,0,Gal,d18:1,16:0
103,-9.6,0,100,16,0,Gal,d18:1,16:0
104,-9.4,0,100,16,0,Gal,d18:1,16:0
105,-9.2,0,100,16,0,Gal,d18:1,16:0
106,-9.0,0,100,16,0,Gal,d18:1,16:0
107,-8.8,0,100,16,0,Gal,d18:1,16:0
108,-8.6,0,100,16,0,Gal,d18:1,16:0
109,-8.4,0,100,16,0,Gal,d18:1,16:0
110,-8.2,0,100,16,0,Gal,d18:1,16:0
111,-8.0,0,100,16,0,Gal,d18:1,16:0
