COV,Intensity,SV,chainLength,unsaturationUnit,isomer,sphingoidBackbone,lipidSpecies
-10,0,0,14,0,Glc,d18:1,14:0
-9.8,0,0,14,0,Glc,d18:1,14:0
-9.6,0,0,14,0,Glc,d18:1,14:0
-9.4,0,0,14,0,Glc,d18:1,14:0
-9.2,0,0,14,0,Glc,d18:1,14:0
-9,0,0,14,0,Glc,d18:1,14:0
-8.8,0,0,14,0,Glc,d18:1,14:0
-8.6,0,0,14,0,Glc,d18:1,14:0
-8.4,0,0,14,0,Glc,d18:1,14:0
-8.2,0,0,14,0,Glc,d18:1,14:0
-8,0,0,14,0,Glc,d18:1,14:0
-7.8,0,0,14,0,Glc,d18:1,14:0
-7.6,0,0,14,0,Glc,d18:1,14:0
-7.4,0,0,14,0,Glc,d18:1,14:0
-7.2,0,0,14,0,Glc,d18:1,14:0
-7,0,0,14,0,Glc,d18:1,14:0
-6.8,0,0,14,0,Glc,d18:1,14:0
-6.6,0,0,14,0,Glc,d18:1,14:0
-6.4,0,0,14,0,Glc,d18:1,14:0
-6.2,0,0,14,0,Glc,d18:1,14:0
-6,0,0,14,0,Glc,d18:1,14:0
-5.8,0,0,14,0,Glc,d18:1,14:0
-5.6,0,0,14,0,Glc,d18:1,14:0
-5.4,0,0,14,0,Glc,d18:1,14:0
-5.2,0,0,14,0,Glc,d18:1,14:0
-5,0,0,14,0,Glc,d18:1,14:0
-4.8,0,0,14,0,Glc,d18:1,14:0
-4.6,0,0,14,0,Glc,d18:1,14:0
-4.4,0,0,14,0,Glc,d18:1,14:0
-4.2,0,0,14,0,Glc,d18:1,14:0
-4,0,0,14,0,Glc,d18:1,14:0
-3.8,0,0,14,0,Glc,d18:1,14:0
-3.6,0,0,14,0,Glc,d18:1,14:0
-3.4,0,0,14,0,Glc,d18:1,14:0
-3.2,0,0,14,0,Glc,d18:1,14:0
-3,0,0,14,0,Glc,d18:1,14:0
-2.8,0,0,14,0,Glc,d18:1,14:0
-2.6,0,0,14,0,Glc,d18:1,14:0
-2.4,0,0,14,0,Glc,d18:1,14:0
-2.2,0,0,14,0,Glc,d18:1,14:0
-2,0,0,14,0,Glc,d18:1,14:0
-1.8,0,0,14,0,Glc,d18:1,14:0
-1.6,0,0,14,0,Glc,d18:1,14:0
-1.4,40,0,14,0,Glc,d18:1,14:0
-1.2,160,0,14,0,Glc,d18:1,14:0
-1,780,0,14,0,Glc,d18:1,14:0
-0.8,1040,0,14,0,Glc,d18:1,14:0
-0.6,2300,0,14,0,Glc,d18:1,14:0
-0.4,2080,0,14,0,Glc,d18:1,14:0
-0.2,1660,0,14,0,Glc,d18:1,14:0
0,1600,0,14,0,Glc,d18:1,14:0
0.2,1140,0,14,0,Glc,d18:1,14:0
0.4,960,0,14,0,Glc,d18:1,14:0
0.6,600,0,14,0,Glc,d18:1,14:0
0.8,400,0,14,0,Glc,d18:1,14:0
1,400,0,14,0,Glc,d18:1,14:0
1.2,0,0,14,0,Glc,d18:1,14:0
1.4,0,0,14,0,Glc,d18:1,14:0
1.6,0,0,14,0,Glc,d18:1,14:0
1.8,0,0,14,0,Glc,d18:1,14:0
2,0,0,14,0,Glc,d18:1,14:0
2.2,0,0,14,0,Glc,d18:1,14:0
2.4,0,0,14,0,Glc,d18:1,14:0
